ms spec, theoretical value, label
376.1963, 376.1966, Neu5Ac
344.1699, 344.1547, Neu5Ac-OMe
374.1803, 374.1653, Neu5Gc
406.2063, 406.2072, Neu5Gc-OMe
155.0703, 155.0389, Hex-OMe-OMe
187.0965, 187.0808, Hex-OMe
219.1226, 219.1227, Hex 
157.0859, 157.0702, dHex-OMe
189.1121, 189.1121, dHex
228.1228, 228.1073, HexNAc-OMe
260.1489, 260.1492, HexNAc
196.0966, 196.0654, HexNAc-OMe-OMe
246.1335, 246.1336, HexNAc BY ion
205.1075, 205.1071, Hex BY ion 
420.2221 ~ 25, 420.2067, dHexHexNAc BY ion
432.2220 ~ 22, 432.2071, LacNAc-OMe
450.2327, 450.2334, LacNAc BY ion
452.2486, 452.2490, CoreFuc Core Y ion
464.2469 ~ 85, 464.2490, LacNAc
x, 580.2964, Neu5AcGal
x, 610.3269, Neu5GcGal
566.2805, 566.2807, Neu5AcHex BY ion
596.2893, 596.2913, Neu5GcHex BY ion
x, 621.3229, Neu5AcHexNAc
x, 651.3335, Neu5GcNexNAc
622.3079, 622.3069 alpha-Gal like BYZ ion
638.3345 ~ 76, 638.3882, LeA/X
x, 640.3175, alpha-Gal like BYY ion
x, 654.3331, alpha-Gal like BY ion
x, 668.3488, alpha-Gal like
812.3875, 812.4274, LeB/Y
x, 793.3808, Neu5AcLacNAc-OMe
825.4232, 825.4227, Neu5AcLacNAc
828.4230, 828.4224, Gal2HexNAcdHex BY ion
x, 842.4380, Gal2HexNAcdHex
997.4941, 997.4962, Gal2HexNAcNeu5Ac BZ ion
1027.5070, 1027.5068, Gal2HexNAcNeu5Gc BZ ion
x, 1029.5225, Gal2HexNAcNeu5Ac
1203.6073, 1203.6117, Gal2HexNAcNeu5AcdHex
1233.6146, 1233.6222, Gal2HexNAcNeu5GcdHex
1339.6853, 1339.6852 Highman(4) Y 
1062.5328, 1062.5327 Highman BY (4H1N)
